[ 1  1  3  1  1  1  0 ]	16/25
[ -1  -1  -3  -1  -1  -1  0 ]	16/-25
[ 1  1  2  4  0 ]	5/22
[ -1  -1  -2  -4  0 ]	5/-22
[ 1  1  2  3  1 ]	22/17
[ -1  -1  -2  -3  -1 ]	22/-17
[ 1  1  2  2  2 ]	29/12
[ -1  -1  -2  -2  -2 ]	29/-12
[ 1  1  2  2  1  1  0 ]	17/29
[ -1  -1  -2  -2  -1  -1  0 ]	17/-29
[ 1  1  2  1  3 ]	26/7
[ -1  -1  -2  -1  -3 ]	26/-7
[ 1  1  2  1  2  1  0 ]	19/26
[ -1  -1  -2  -1  -2  -1  0 ]	19/-26
[ 1  1  2  1  1  2  0 ]	12/31
[ -1  -1  -2  -1  -1  -2  0 ]	12/-31
[ 1  1  2  1  1  1  1 ]	31/19
[ -1  -1  -2  -1  -1  -1  -1 ]	31/-19
[ 1  1  1  5  0 ]	3/17
[ -1  -1  -1  -5  0 ]	3/-17
[ 1  1  1  4  1 ]	17/14
[ -1  -1  -1  -4  -1 ]	17/-14
[ 1  1  1  3  2 ]	25/11
[ -1  -1  -1  -3  -2 ]	25/-11
[ 1  1  1  3  1  1  0 ]	14/25
[ -1  -1  -1  -3  -1  -1  0 ]	14/-25
[ 1  1  1  2  3 ]	27/8
[ -1  -1  -1  -2  -3 ]	27/-8
[ 1  1  1  2  2  1  0 ]	19/27
[ -1  -1  -1  -2  -2  -1  0 ]	19/-27
[ 1  1  1  2  1  2  0 ]	11/30
[ -1  -1  -1  -2  -1  -2  0 ]	11/-30
[ 1  1  1  2  1  1  1 ]	30/19
[ -1  -1  -1  -2  -1  -1  -1 ]	30/-19
[ 1  1  1  1  4 ]	23/5
[ -1  -1  -1  -1  -4 ]	23/-5
[ 1  1  1  1  3  1  0 ]	18/23
[ -1  -1  -1  -1  -3  -1  0 ]	18/-23
[ 1  1  1  1  2  2  0 ]	13/31
[ -1  -1  -1  -1  -2  -2  0 ]	13/-31
[ 1  1  1  1  2  1  1 ]	31/18
[ -1  -1  -1  -1  -2  -1  -1 ]	31/-18
[ 1  1  1  1  1  3  0 ]	8/29
[ -1  -1  -1  -1  -1  -3  0 ]	8/-29
[ 1  1  1  1  1  2  1 ]	29/21
